comuna,nombre_campamento,anio_llegada,situacion_habitacional_anterior,tipo_vivienda,tiene_electricidad,fuente_agua,tiene_saneamiento,coord_x,coord_y,geometry,antiguedad_hogar
13125,1312504,2018.0,Propietario y pagando dividendo,1.0,No informado,Camión aljibe,No,-70.7446416666667,-33.3836916666667,POINT (-70.7446416666667 -33.3836916666667),6.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7444,-33.3838983333333,POINT (-70.7444 -33.3838983333333),
13125,1312504,2021.0,Allegado,3.0,No informado,Camión aljibe,No,-70.7442833333333,-33.3840116666667,POINT (-70.7442833333333 -33.3840116666667),3.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.744405,-33.38426,POINT (-70.744405 -33.38426),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.744405,-33.38426,POINT (-70.744405 -33.38426),
13125,1312504,2022.0,Propietario y pagando dividendo,3.0,No informado,Camión aljibe,No,-70.7445916666667,-33.384085,POINT (-70.7445916666667 -33.384085),2.0
13125,1312504,9999.0,Allegado,3.0,No informado,Camión aljibe,No,-70.7284798348034,-33.4097097833815,POINT (-70.7284798348034 -33.4097097833815),-7975.0
13125,1312504,2020.0,Allegado,3.0,No informado,Camión aljibe,No,-70.744855,-33.3838533333333,POINT (-70.744855 -33.3838533333333),4.0
13125,1312504,9999.0,Allegado,3.0,No informado,Camión aljibe,No,-70.745135,-33.383615,POINT (-70.745135 -33.383615),-7975.0
13125,1312504,,No informado,2.0,No,Pozo o noria,No informado,-70.7365105275364,-33.3852404578518,POINT (-70.7365105275364 -33.3852404578518),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7441501598805,-33.3837402937934,POINT (-70.7441501598805 -33.3837402937934),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.744185866788,-33.3837882382795,POINT (-70.744185866788 -33.3837882382795),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7441794127226,-33.3838704647496,POINT (-70.7441794127226 -33.3838704647496),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.744143454358,-33.3838669862598,POINT (-70.744143454358 -33.3838669862598),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7439493294805,-33.3840197464451,POINT (-70.7439493294805 -33.3840197464451),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7439150474966,-33.3839711733162,POINT (-70.7439150474966 -33.3839711733162),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7447959855199,-33.3832153771073,POINT (-70.7447959855199 -33.3832153771073),
13125,1312504,2017.0,Allegado,2.0,No informado,Camión aljibe,No,-70.744701270014,-33.3836476318538,POINT (-70.744701270014 -33.3836476318538),7.0
13101,1312504,,Allegado,1.0,No informado,Camión aljibe,No,-70.744616445154,-33.3837602427229,POINT (-70.744616445154 -33.3837602427229),
13125,1312504,2022.0,Propietario y pagando dividendo,1.0,No informado,Camión aljibe,No,-70.7442682608962,-33.3840573392808,POINT (-70.7442682608962 -33.3840573392808),2.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.744809396565,-33.3837710134685,POINT (-70.744809396565 -33.3837710134685),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7448999211192,-33.3837814070284,POINT (-70.7448999211192 -33.3837814070284),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7449012622237,-33.3837678283453,POINT (-70.7449012622237 -33.3837678283453),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7449074648321,-33.3837416348979,POINT (-70.7449074648321 -33.3837416348979),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7449433393776,-33.3836941933259,POINT (-70.7449433393776 -33.3836941933259),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7450300082564,-33.3836461650208,POINT (-70.7450300082564 -33.3836461650208),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7451008353382,-33.3835877850652,POINT (-70.7451008353382 -33.3835877850652),
13201,1320111,2020.0,Propietario y sin deuda,2.0,No informado,Camión aljibe,No,-70.5504927438041,-33.6081300414442,POINT (-70.5504927438041 -33.6081300414442),4.0
13201,1320111,,No informado,No informado,No informado,No informado,No informado,-70.5504984513504,-33.6080247130348,POINT (-70.5504984513504 -33.6080247130348),
13201,1320111,,No informado,No informado,No informado,No informado,No informado,-70.5507222707629,-33.6081435857627,POINT (-70.5507222707629 -33.6081435857627),
13201,1320111,2021.0,Propietario y sin deuda,1.0,No informado,Camión aljibe,No informado,-70.5508511349109,-33.6080819232032,POINT (-70.5508511349109 -33.6080819232032),3.0
13201,1320111,2020.0,Propietario y sin deuda,3.0,No informado,Camión aljibe,No informado,-70.5497140116913,-33.6080821070112,POINT (-70.5497140116913 -33.6080821070112),4.0
13201,1320111,2020.0,Propietario y pagando dividendo,3.0,No informado,Camión aljibe,No informado,-70.5497120616085,-33.6079481219131,POINT (-70.5497120616085 -33.6079481219131),4.0
13201,1320111,2020.0,Propietario y sin deuda,3.0,No informado,Camión aljibe,No informado,-70.5505375255907,-33.608035040831,POINT (-70.5505375255907 -33.608035040831),4.0
13201,1320105,2021.0,Propietario y sin deuda,3.0,No informado,Camión aljibe,No informado,-70.5494366666667,-33.607185,POINT (-70.5494366666667 -33.607185),3.0
13201,1320105,2023.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.549255,-33.6071683333333,POINT (-70.549255 -33.6071683333333),1.0
13201,1320105,1993.0,No informado,3.0,No informado,Camión aljibe,No informado,-70.5492433333333,-33.6071166666667,POINT (-70.5492433333333 -33.6071166666667),31.0
13201,1320105,2022.0,Propietario y sin deuda,2.0,No informado,Camión aljibe,No informado,-70.549235,-33.6070483333333,POINT (-70.549235 -33.6070483333333),2.0
13201,1320105,2022.0,Propietario y sin deuda,No informado,No informado,No informado,No informado,-70.549235,-33.6070483333333,POINT (-70.549235 -33.6070483333333),2.0
13201,1320105,2022.0,Propietario y sin deuda,2.0,No informado,Camión aljibe,No informado,-70.549235,-33.6070483333333,POINT (-70.549235 -33.6070483333333),2.0
13201,1320105,2021.0,Arrendatario,2.0,No informado,Camión aljibe,Si,-70.549185,-33.6070466666667,POINT (-70.549185 -33.6070466666667),3.0
13201,1320111,2020.0,Propietario y pagando dividendo,1.0,No informado,Camión aljibe,No informado,-70.5499162134699,-33.6072830363504,POINT (-70.5499162134699 -33.6072830363504),4.0
13201,1320111,2020.0,Propietario y pagando dividendo,2.0,No informado,Camión aljibe,No informado,-70.549987197589,-33.6071661378442,POINT (-70.549987197589 -33.6071661378442),4.0
13201,1320111,,No informado,No informado,No informado,No informado,No informado,-70.5500483333333,-33.60714,POINT (-70.5500483333333 -33.60714),
13201,1320105,2021.0,Arrendatario,2.0,No informado,Camión aljibe,Si,-70.549185,-33.6070466666667,POINT (-70.549185 -33.6070466666667),3.0
13201,1320105,1993.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5492066666667,-33.6070466666667,POINT (-70.5492066666667 -33.6070466666667),31.0
13201,1320105,2023.0,Arrendatario,3.0,No informado,Camión aljibe,No informado,-70.5492966666667,-33.606915,POINT (-70.5492966666667 -33.606915),1.0
13201,1320111,,No informado,No informado,No informado,No informado,No informado,-70.5500316666667,-33.6070333333333,POINT (-70.5500316666667 -33.6070333333333),
13201,1320105,1993.0,No informado,3.0,No informado,"Río, vertiente, etc.",No informado,-70.54887,-33.60706,POINT (-70.54887 -33.60706),31.0
13201,1320105,1993.0,Propietario y pagando dividendo,2.0,No informado,Camión aljibe,No informado,-70.5488833333333,-33.6070866666667,POINT (-70.5488833333333 -33.6070866666667),31.0
13201,1320105,1993.0,No informado,3.0,No informado,"Río, vertiente, etc.",No informado,-70.54887,-33.60706,POINT (-70.54887 -33.60706),31.0
13201,1320111,2022.0,Propietario y sin deuda,2.0,No informado,Camión aljibe,No informado,-70.550125,-33.6069216666667,POINT (-70.550125 -33.6069216666667),2.0
13201,1320111,2020.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5504952629768,-33.6063083303479,POINT (-70.5504952629768 -33.6063083303479),4.0
13201,1320111,2019.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5505834465908,-33.6063139263765,POINT (-70.5505834465908 -33.6063139263765),5.0
13201,1320111,2019.0,No informado,No informado,No informado,No informado,No informado,-70.5505761604229,-33.6063129901737,POINT (-70.5505761604229 -33.6063129901737),5.0
13201,1320111,2019.0,Propietario y pagando dividendo,2.0,No informado,Camión aljibe,No informado,-70.5504720609095,-33.6066918785043,POINT (-70.5504720609095 -33.6066918785043),5.0
13201,1320111,2019.0,Allegado,No informado,No informado,No informado,No informado,-70.5504940016281,-33.6066687598837,POINT (-70.5504940016281 -33.6066687598837),5.0
13201,1320111,2019.0,Propietario y pagando dividendo,2.0,No informado,Camión aljibe,No informado,-70.5504518491401,-33.6067523654505,POINT (-70.5504518491401 -33.6067523654505),5.0
13201,1320111,2021.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5506079307972,-33.6065882379352,POINT (-70.5506079307972 -33.6065882379352),3.0
13201,1320111,2022.0,Propietario y pagando dividendo,3.0,No informado,Camión aljibe,No informado,-70.5506219757187,-33.6065054995748,POINT (-70.5506219757187 -33.6065054995748),2.0
13201,1320111,2021.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5505103463017,-33.6065630019137,POINT (-70.5505103463017 -33.6065630019137),3.0
13201,1320111,2021.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5505440956831,-33.6065817273752,POINT (-70.5505440956831 -33.6065817273752),3.0
13201,1320111,2020.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5506825045878,-33.6063201920471,POINT (-70.5506825045878 -33.6063201920471),4.0
13201,1320111,2020.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5508585468467,-33.6063277039703,POINT (-70.5508585468467 -33.6063277039703),4.0
13201,1320111,2019.0,Allegado,4.0,No informado,Camión aljibe,No informado,-70.551039022992,-33.6063531317795,POINT (-70.551039022992 -33.6063531317795),5.0
13201,1320111,2019.0,Allegado,No informado,No informado,No informado,No informado,-70.550480823604,-33.6062935957681,POINT (-70.550480823604 -33.6062935957681),5.0
13201,1320111,2021.0,Allegado,2.0,No informado,Camión aljibe,No informado,-70.5511526252216,-33.6069093925669,POINT (-70.5511526252216 -33.6069093925669),3.0
13201,1320111,2020.0,Allegado,2.0,No informado,Camión aljibe,No informado,-70.5511774807194,-33.6068227567053,POINT (-70.5511774807194 -33.6068227567053),4.0
13201,1320111,2021.0,Allegado,1.0,No informado,Camión aljibe,No informado,-70.5512842179572,-33.6066533293899,POINT (-70.5512842179572 -33.6066533293899),3.0
13201,1320111,2020.0,Allegado,1.0,No informado,Camión aljibe,No informado,-70.5502798801111,-33.6073388276933,POINT (-70.5502798801111 -33.6073388276933),4.0
13201,1320111,2020.0,Propietario y sin deuda,2.0,No informado,Camión aljibe,No informado,-70.5503448759932,-33.6072808134736,POINT (-70.5503448759932 -33.6072808134736),4.0
13201,1320111,2020.0,Allegado,2.0,No informado,Camión aljibe,No informado,-70.5510585220145,-33.6066132623675,POINT (-70.5510585220145 -33.6066132623675),4.0
13201,1320111,2021.0,Propietario y sin deuda,1.0,No informado,Camión aljibe,No informado,-70.5504461974502,-33.6077600461694,POINT (-70.5504461974502 -33.6077600461694),3.0
13201,1320105,2021.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.548825,-33.6069983333333,POINT (-70.548825 -33.6069983333333),3.0
13201,1320105,2021.0,Propietario y sin deuda,No informado,No informado,No informado,No informado,-70.5487,-33.606985,POINT (-70.5487 -33.606985),3.0
13201,1320105,1993.0,No informado,3.0,No informado,Camión aljibe,No informado,-70.5487124223359,-33.6069589827377,POINT (-70.5487124223359 -33.6069589827377),31.0
13201,1320105,2022.0,Propietario y pagando dividendo,3.0,No informado,Camión aljibe,No,-70.5488666666667,-33.6073066666667,POINT (-70.5488666666667 -33.6073066666667),2.0
13201,1320105,2021.0,Propietario y pagando dividendo,1.0,No informado,Camión aljibe,No informado,-70.54898,-33.6073283333333,POINT (-70.54898 -33.6073283333333),3.0
13201,1320105,2020.0,Propietario y pagando dividendo,2.0,No informado,Camión aljibe,No informado,-70.5489966666667,-33.607335,POINT (-70.5489966666667 -33.607335),4.0
13201,1320105,2021.0,Propietario y pagando dividendo,1.0,No informado,Camión aljibe,No,-70.5489566666667,-33.6073766666667,POINT (-70.5489566666667 -33.6073766666667),3.0
13201,1320105,2021.0,Allegado,1.0,No informado,Camión aljibe,No informado,-70.5487456317107,-33.6072114396356,POINT (-70.5487456317107 -33.6072114396356),3.0
13201,1320105,2022.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5486997204457,-33.6072483056679,POINT (-70.5486997204457 -33.6072483056679),2.0
